listing_id,cluster,calculated_host_listings_count,price,occupancy_rate_pct,review_scores_rating,number_of_reviews,availability_365
1133760293330617460,5,13,935.57,75.34,3.0,1,90
1670840163414237392,3,6,4150.0,63.84,5.0,1,132
1238217090677781102,2,7,1024.0,7.4,4.5,2,338
1276556340229746961,2,40,1634.17,0.0,4.86,0,365
716948075292779634,3,2,1890.0,62.74,5.0,1,136
1057265452424145140,2,18,2226.7,26.3,4.86,0,269
1683198275767209209,2,81,1572.8,3.56,4.86,0,352
1266610701986574702,3,13,1199.0,37.53,5.0,1,228
53960529,1,27,1980.0,29.04,4.85,149,259
931741017197922418,4,231,1636.0,0.27,4.86,0,364
1560018081898450746,2,37,1302.0,24.66,4.86,0,275
1627686954264681192,2,5,1334.0,26.03,4.86,7,270
17229016,2,1,862.4,29.04,4.89,99,259
1619729993958125473,4,103,3666.67,4.93,5.0,1,347
1692876971975214783,2,1,2712.29,0.27,4.86,0,364
972031965730636945,3,3,2191.0,51.23,4.86,0,178
7489678,2,1,1369.5,0.55,4.86,0,363
737066292019794480,2,1,378.6,0.0,4.86,0,365
1687521271061453416,2,83,656.91,0.0,4.86,0,365
1116602901340932081,2,3,457.0,26.3,4.86,0,269
1681803256999594426,2,9,829.46,8.77,4.86,0,333
1612844941944156275,2,5,999.67,0.27,4.86,0,364
1683408684094093016,2,44,584.0,1.37,5.0,1,360
1333175806159442080,2,6,1032.0,0.55,4.38,8,363
1442134202993504127,2,5,2239.0,0.27,4.86,0,364
17918685,2,1,1256.0,0.0,4.86,0,365
1654793783243557194,2,2,1641.0,0.0,4.86,0,365
12975072,2,1,400.66,2.19,4.5,2,357
1272752069837385800,2,36,1091.64,26.3,5.0,9,269
1546423796690626668,2,64,1001.76,0.0,4.86,0,365
1577994737337706839,2,7,1079.0,0.0,5.0,2,365
800991307273021809,2,5,3594.75,20.27,4.74,65,291
1599841184397664688,2,6,416.92,0.0,4.86,0,365
1206934079175333828,3,23,1825.88,76.16,4.5,50,87
1635434459359425418,2,7,1185.76,26.03,4.86,0,270
1490077679108865878,2,17,1335.2,26.03,4.86,0,270
1504829127040412943,2,36,878.71,0.0,5.0,1,365
45485860,2,3,1757.5,17.53,4.71,119,301
1270006346510140622,3,2,1073.0,59.18,4.5,6,149
1481651767514972537,2,3,1700.0,0.82,5.0,1,362
1679795494079288696,3,103,2548.0,73.15,4.75,4,98
686685352918051428,2,8,1112.0,26.03,4.83,23,270
47225951,2,13,1762.0,0.0,4.86,0,365
41397260,3,26,1128.33,57.26,5.0,9,156
1067748,3,5,1769.0,50.14,4.66,71,182
1510849599819383450,2,57,816.2,0.0,4.86,0,365
1644000156339949695,2,1,1369.41,0.55,4.86,0,363
551997015060749491,2,1,1510.0,5.21,4.54,95,346
710550099264498495,2,72,1749.0,0.27,4.67,58,364
1320837857905349037,2,4,3196.0,0.0,4.86,0,365
1401200842617799508,2,40,5291.25,1.64,4.81,27,359
52933306,2,15,2055.0,0.55,4.14,14,363
1459054967094958486,2,1,1207.61,13.97,4.67,6,314
32464892,2,16,2446.13,5.48,4.91,75,345
30897658,3,14,2620.0,48.49,5.0,1,188
1599255731975746724,2,33,2122.59,0.0,4.86,0,365
1563404489643952145,3,4,1278.0,61.37,4.91,11,141
1697623933450276856,2,83,1163.88,0.0,4.86,0,365
1394285,2,15,970.0,0.27,3.92,13,364
40528501,2,1,1028.0,0.82,4.86,0,362
1664408007100375733,2,7,3910.0,0.0,4.86,0,365
32534050,2,6,1111.0,26.03,4.08,12,270
2368241,3,5,1922.8,91.78,4.23,75,30
1360717767089964150,2,46,1749.87,0.0,4.86,0,365
1513817184082022191,2,9,2537.98,0.27,4.86,0,364
1573295803034759966,3,43,2557.5,75.34,4.92,12,90
1283287605698961005,2,4,2807.0,11.51,4.93,27,323
1249392333327656710,4,111,4108.24,26.3,4.57,14,269
21731803,3,1,1370.0,75.34,5.0,2,90
1658508363160800434,0,2,6847.2,1.92,4.86,0,358
1569216424069235161,3,14,2044.0,75.07,4.86,0,91
1438057998683200705,2,36,903.52,0.0,4.83,6,365
51004092,2,3,5592.0,0.0,4.93,120,365
1090073006954041084,2,9,2193.0,1.1,4.86,57,361
1061902435685148923,3,7,890.0,53.15,4.82,88,171
1641131080805328649,2,28,1020.6,0.0,4.86,0,365
1569626135361977888,2,18,2168.24,25.75,4.74,23,271
964542415993555421,3,47,1349.54,50.68,5.0,3,180
39353280,3,3,1742.67,76.16,4.86,0,87
1604670160613403168,3,2,1160.21,86.03,5.0,3,51
1686791540999736830,2,14,977.36,0.0,4.86,0,365
1705631667648279254,3,13,936.0,52.6,4.86,0,173
1311396387111460302,3,6,621.0,42.19,4.89,19,211
52956345,3,47,1465.64,46.03,5.0,7,197
1549757879776493049,2,67,2800.0,11.23,4.74,19,324
1617829877562208198,3,23,923.42,50.68,4.86,0,180
4515803,2,1,1546.28,1.92,4.79,14,358
1173220982544725409,2,13,1996.3,8.49,5.0,6,334
1096141736278553675,2,5,1081.08,28.77,4.74,43,260
1481167810458660681,3,1,2194.1,44.66,5.0,1,202
716208616495858681,2,1,1693.5,8.77,4.86,22,333
774268805152956731,2,1,1164.0,0.0,5.0,3,365
1124518884664914316,2,51,1930.33,1.92,4.0,3,358
1423735719690860301,2,4,1430.0,0.27,4.83,12,364
1530912640835704970,2,19,1710.0,9.59,5.0,1,330
1568696060326674184,3,15,6400.0,73.42,4.0,1,97
1295927826123009767,4,247,4845.0,0.0,5.0,4,365
1562856133685940125,4,94,1224.61,2.47,5.0,22,356
26345637,2,23,2138.86,0.27,4.75,124,364
1457938503195697762,4,97,1113.79,0.27,4.86,0,364
22343890,5,1,1151.31,26.85,3.5,2,267
1533820272698819390,2,28,5300.0,0.0,4.86,0,365
1421681544096093838,3,2,1896.94,90.41,4.86,0,35
1360275018690833128,4,171,2010.8,0.27,5.0,2,364
1626705177044643080,2,1,3600.0,9.04,4.86,0,332
1147790661621792837,2,1,1004.5,14.25,5.0,1,313
29616264,3,24,3001.0,37.53,4.57,14,228
1052475943170606087,2,5,1030.0,0.27,4.0,3,364
1259257823902800628,2,1,2628.0,0.27,4.56,9,364
39433053,3,1,2054.15,58.36,4.86,0,152
30837116,2,8,547.0,5.21,5.0,1,346
1602060236964403750,2,33,1765.89,0.0,4.86,0,365
1304235343933177620,2,2,98.58,0.55,4.86,0,363
15665099,2,73,423.86,0.27,4.86,0,364
1056247295272129350,2,1,1337.0,2.19,4.78,18,357
1296892980778053179,3,6,3880.0,69.04,4.67,6,113
913536025480231903,2,1,1614.0,31.51,4.88,40,250
1068786991940161987,2,18,2196.8,26.3,5.0,1,269
1378970940487449673,2,46,1123.71,0.0,4.86,0,365
1351152656152110300,4,231,7297.0,0.27,4.86,0,364
31128440,3,1,5706.0,75.62,4.86,0,89
1372225571353107011,2,51,2082.14,0.0,4.86,0,365
1515947612311318460,2,19,2000.0,6.58,4.86,0,341
1201487254000038867,2,5,970.0,0.27,4.86,0,364
1701893504144047888,2,36,1930.99,0.0,4.86,0,365
1082578400525539923,2,1,5231.0,26.3,4.86,0,269
41737579,3,1,1107.0,50.96,4.86,0,179
42846298,2,1,3995.0,26.03,5.0,1,270
1475945797033019306,2,36,1269.36,0.0,5.0,5,365
1578848397569462106,2,1,1240.69,0.27,4.86,0,364
1551480784749105534,2,1,1400.0,16.16,5.0,4,306
853429392012983523,3,4,1337.0,61.92,4.64,45,139
1469321965530816898,2,1,1186.82,0.27,4.86,0,364
1212713493770892822,2,27,1985.65,3.84,4.77,129,351
1330923644550505311,2,1,1683.05,0.82,4.86,0,362
792665012233325391,2,15,273.44,0.27,4.44,25,364
878900006027101879,1,13,697.0,2.47,4.92,215,356
1396775785785607391,2,4,498.0,14.52,4.81,16,312
1638109817346829846,2,2,3413.0,26.03,5.0,1,270
1655008427262067743,2,1,1120.6,27.4,5.0,1,265
1323155626144198378,2,6,5136.0,0.0,4.86,0,365
26281571,2,1,1152.6,17.26,4.72,43,302
1690678217327275377,2,9,901.71,0.0,4.86,0,365
1707249859716864095,2,3,649.1,35.62,4.86,0,235
1631862202524627928,2,81,2069.03,0.27,4.86,0,364
1203964733185348091,2,4,2000.0,28.22,4.87,30,262
1626776584216636073,2,14,548.0,1.1,5.0,3,361
21267402,2,4,1122.0,0.55,4.86,0,363
965695639896195137,3,21,1312.27,66.03,4.92,12,124
30572874,3,6,2055.0,54.79,4.5,2,165
1511847033542925167,2,4,1402.0,0.82,5.0,2,362
1662788036847222632,0,65,8703.33,0.27,4.86,0,364
928046088696985796,4,176,1781.0,2.47,5.0,1,356
1608199118833640287,0,1,9585.89,0.0,4.86,0,365
1628959973282223100,4,234,1599.29,0.0,4.86,0,365
925059045435997369,4,176,2169.0,0.0,4.86,0,365
740917233297035393,5,176,3475.0,0.0,1.0,1,365
1606507022113940824,2,63,1258.67,0.0,4.86,0,365
1590511120821408623,2,8,1100.22,7.95,5.0,2,336
1529567047969166300,2,15,578.0,0.27,4.67,6,364
1018762010659397756,2,48,1389.74,0.0,4.8,129,365
835489895306717597,3,36,3347.0,50.96,4.98,58,179
1203953312400886661,2,4,1533.33,34.79,4.85,27,238
986465218599136507,2,10,1039.81,10.14,4.67,6,328
954635421898587046,2,15,815.0,0.55,4.91,22,363
24316282,2,9,2250.0,0.0,5.0,2,365
764813963823090912,2,1,2968.0,0.0,4.86,0,365
8995993,0,1,6975.0,1.1,4.86,0,361
1430972314488638118,3,81,3748.2,67.12,4.86,0,120
1291052180664039594,2,40,1360.28,0.0,4.86,0,365
859111301502512035,2,38,1027.5,4.66,4.86,58,348
1371798658421960588,2,1,829.78,0.0,5.0,1,365
1613455565947092804,3,20,1381.67,75.62,4.86,0,89
1378596162788184866,2,65,1542.87,0.0,4.86,0,365
53676612,2,1,228.55,1.1,4.86,0,361
1242010596513464791,2,1,5592.0,4.66,5.0,5,348
38472726,2,1,3869.0,0.0,4.86,0,365
1224439797943005452,3,182,2080.66,73.42,5.0,5,97
1204326572080286235,4,111,2282.35,26.03,4.78,41,270
1657317483477927089,2,56,826.5,0.0,4.86,0,365
1121538169000904295,2,2,1484.0,10.41,4.86,0,327
710671150283361091,2,8,3424.0,30.68,5.0,1,253
684297381901553814,4,191,653.4,0.82,4.67,12,362
1673120848971024927,2,10,1459.0,0.82,4.86,0,362
1010693983010315563,3,47,1983.0,83.29,4.76,41,61
30366147,1,26,2288.23,29.86,4.81,134,256
1465017091549137478,2,2,2440.0,6.58,5.0,22,341
1459834012254485981,3,9,2400.0,36.99,4.5,10,230
934572391232657593,4,176,2853.0,0.0,4.86,0,365
1459366677703569158,4,97,1816.75,0.0,4.86,0,365
1106859133817967900,2,17,1302.08,10.96,4.81,16,325
1620876811870107666,2,1,1401.98,34.25,5.0,1,240
21045059,2,49,2852.0,25.48,5.0,2,272
1366089948202461640,4,129,1100.37,0.27,4.86,0,364
933185787146577435,4,176,1336.0,0.27,4.86,0,364
1630302633576074038,3,20,1343.64,75.62,4.86,0,89
42556650,0,6,6787.0,49.86,5.0,1,183
46452651,4,191,1325.88,4.38,4.71,116,349
42321123,3,1,3580.57,75.34,4.86,0,90
1258004796501445037,2,6,930.0,21.64,4.82,55,286
1103916556463856955,2,2,1394.05,28.22,3.75,8,262
1594762165215675691,2,43,1298.15,0.0,4.86,0,365
865040708299470884,2,11,833.06,27.12,4.8,94,266
1596908585343678849,2,63,2213.88,0.0,4.86,0,365
1652018706732465496,2,82,977.86,6.85,5.0,2,340
37850314,3,6,1061.19,70.14,4.77,13,109
1600515699001117442,2,33,2244.01,0.0,4.86,0,365
40689409,3,14,2205.0,47.67,4.86,0,191
1302541023889877970,3,3,4201.5,50.68,4.86,0,180
927257185619929039,4,191,1499.0,1.64,4.69,45,359
1680569264640740673,3,17,3048.0,56.99,4.86,0,157
1654814520422023890,4,182,1538.35,59.73,5.0,2,147
976582242139903178,3,4,4393.53,76.16,4.9,102,87
1055015449598105377,3,17,1528.0,75.62,4.92,12,89
1607313600679552746,2,17,3025.0,11.51,5.0,9,323
930944993383668686,4,176,1497.0,0.0,5.0,2,365
12326209,2,4,971.0,0.27,4.67,98,364
1693953445783287461,2,41,693.73,0.27,4.86,0,364
9053892,2,1,1737.5,0.0,4.86,0,365
41022754,3,3,865.41,60.82,4.89,9,143
1260753547616685962,5,40,763.9,0.0,3.5,2,365
984641235888874251,2,2,560.39,1.92,4.86,0,358
1457963607363029440,4,97,1128.95,0.0,4.86,0,365
1224730549870478713,2,47,1528.72,25.21,4.86,0,273
1503474478836595939,5,171,913.0,0.0,2.0,1,365
1622350678067542193,4,144,1351.14,0.27,4.86,0,364
1548198759427930068,2,40,2282.35,0.0,4.86,0,365
951140668419454801,4,97,695.73,26.3,5.0,2,269
1613043765018614619,2,84,1328.0,0.0,4.8,10,365
1695573612438286520,2,3,3953.04,3.01,4.86,0,354
