id,price_clean,accommodates,bedrooms,price_per_bedroom,room_type,name,is_round_number
21462529,1320255.0,3,1.0,1320255.0,Private room,Ideo verse ratchaprarop condo,False
15380964,1159508.0,7,2.0,579754.0,Entire home/apt,"Resort Style Luxury apartment,5min to MRT,freeWifi",False
26511695,1157979.0,6,2.0,578989.5,Entire home/apt,Bangkok  City 100m to Ploenchit SkyTrain w/ Tub,False
23740993,1157401.0,7,2.0,578700.5,Entire home/apt,"Modern&Luxury apartment,5min to MRT,freeWifi",False
1376399745235368707,1118917.14,2,1.0,1118917.14,Entire home/apt,调房备用-fkbk010,False
1071282441162080838,1039152.5,2,1.0,1039152.5,Entire home/apt,bkce调房（不售卖）,False
1320033691497453503,912940.69,2,1.0,912940.69,Entire home/apt,调房链接（不售卖）,False
11579635,344417.97,5,2.0,172208.985,Entire home/apt,"2 Bedroom,wifi,5mMRT&Shopping Mall",False
8880974,338523.34,4,1.0,338523.34,Entire home/apt,"Modern,wifi,5m MRT&2 Shopping Mall",False
1455367354553258059,320000.0,4,1.0,320000.0,Entire home/apt,A comfy Home in Central BKK,True
25434238,300000.0,2,1.0,300000.0,Private room,Comfy Check-in My Hostel (Private 2 beds-deluxe),True
29526819,300000.0,2,1.0,300000.0,Private room,Modern Deluxe Private Double Bed (2 adults),True
16139502,300000.0,2,1.0,300000.0,Hotel room,Nice Check-in My Hostel (Private 2 beds),True
25434663,300000.0,3,1.0,300000.0,Private room,Comfy Check-in My Hostel (Private 3 beds),True
25429707,300000.0,4,1.0,300000.0,Private room,Clean Check-in My Hostel (Private 4 beds),True
22363455,235400.0,16,15.0,15693.333333333334,Entire home/apt,Private 15 bedrooms Mansion,False
917282470605681869,198000.0,12,6.0,33000.0,Entire home/apt,Luxury Private Thai Villa with Pool by the River,True
41842576,195523.5,16,11.0,17774.863636363636,Entire home/apt,Entire Luxury House with Private Pool in Thonglor,False
16045517,182664.67,4,1.0,182664.67,Entire home/apt,"BTS Wongwianyai, Rooftop  Pool, Wifi",False
31064616,177791.0,2,1.0,177791.0,Private room,"【ExLN:9min to BTS/MRT&Terminal21,Big Balcony,Quiet",False
